symbol,time,spot_price,strike,premium,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs_theoretical,option_type
MGLUA106,2021-01-04T00:00:00.000Z,25.2,26.58,0.27,10,OTM,0.250984,0.17045369064745972,0.01598555344717085,-0.030225150839742622,0.0024027136510184036,37.215,22.8,0.27,CALL
MGLUA110,2021-01-04T00:00:00.000Z,25.2,27.58,0.13,10,OTM,0.134922,0.11000429625927519,0.010894983123076967,-0.02166884487235524,0.001297641602720289,39.302,11.87,0.13,CALL
MGLUA114,2021-01-04T00:00:00.000Z,25.2,28.58,0.08,10,OTM,0.082524,0.06914661771994636,0.007640022077238977,-0.016907267122964736,0.000793506243284944,43.845,7.0,0.08,CALL
MGLUA241,2021-01-04T00:00:00.000Z,25.2,24.08,1.48,10,ATM,0.732623,0.16398559468964077,0.016517170311381585,-0.0343562231673036,0.006739000524301279,39.969,70.58,1.48,CALL
MGLUA246,2021-01-04T00:00:00.000Z,25.2,24.58,1.1,10,ATM,0.649302,0.19817921258442184,0.018607443645552592,-0.03587498617763354,0.006056582242592949,37.258,62.14,1.1,CALL
MGLUA251,2021-01-04T00:00:00.000Z,25.2,25.08,0.77,10,ATM,0.545687,0.2259041245664636,0.019895372093918097,-0.03579503451170039,0.005151382685941197,34.948,51.8,0.77,CALL
MGLUA256,2021-01-04T00:00:00.000Z,25.2,25.58,0.52,10,ATM,0.430279,0.23041417114939866,0.019720224668117226,-0.03430610884875312,0.00409648743657937,33.962,40.39,0.52,CALL
MGLUA271,2021-01-04T00:00:00.000Z,25.2,27.08,0.16,10,OTM,0.170422,0.13971804457860001,0.012723464016562516,-0.02331701445728337,0.0016407422280271255,36.137,15.28,0.16,CALL
MGLUA283,2021-01-04T00:00:00.000Z,25.2,28.33,0.09,10,OTM,0.092999,0.07751002406280533,0.008352458955131216,-0.018036749380180482,0.0008942922528533286,42.761,7.96,0.09,CALL
MGLUA291,2021-01-04T00:00:00.000Z,25.2,29.08,0.06,10,OTM,0.062847,0.05425745495230848,0.006200489952771825,-0.014179853016132407,0.0006046678808163213,45.348,5.24,0.06,CALL
MGLUA303,2021-01-04T00:00:00.000Z,25.2,30.33,0.03,10,OTM,0.032337,0.029525648501221476,0.0036343216353413466,-0.008938075845280979,0.00031146928132367,48.845,2.59,0.03,CALL
MGLUA314,2021-01-04T00:00:00.000Z,25.2,31.33,0.03,10,OTM,0.028895,0.023559693435532485,0.0033108837263602525,-0.009287021074299864,0.0002770413197633322,55.766,2.23,0.03,CALL
MGLUA925,2021-01-04T00:00:00.000Z,25.2,23.08,2.31,10,ITM,0.85456,0.10347672402864198,0.011465053105133356,-0.026729751460604863,0.00762902353393183,43.967,83.36,2.31,CALL
MGLUA944,2021-01-04T00:00:00.000Z,25.2,23.58,1.9,10,ITM,0.7948,0.1308844216463904,0.014271327509581771,-0.03231332309757779,0.007194112856731629,43.268,76.94,1.9,CALL
MGLUB107,2021-01-04T00:00:00.000Z,25.2,26.73,0.81,35,OTM,0.367044,0.10867377701074092,0.03536609460361771,-0.019311354832679855,0.011721513478714307,36.897,31.66,0.81,CALL
MGLUB242,2021-01-04T00:00:00.000Z,25.2,24.23,1.91,35,ATM,0.64764,0.10919589380832148,0.034870693545042325,-0.01917999570376942,0.020014623643599638,36.206,59.64,1.91,CALL
MGLUB250,2021-01-04T00:00:00.000Z,25.2,24.98,1.5,35,ATM,0.560801,0.11572602011968418,0.03703064216043099,-0.02019472810563544,0.01754472900997468,36.28,50.71,1.5,CALL
MGLUB255,2021-01-04T00:00:00.000Z,25.2,25.48,1.25,35,ATM,0.502116,0.1181085489150506,0.03746612551751423,-0.020154942848535903,0.015837924387262847,35.966,44.88,1.25,CALL
MGLUB260,2021-01-04T00:00:00.000Z,25.2,25.98,1.08,35,ATM,0.447589,0.11372295285572442,0.037142870457112995,-0.020458239590710168,0.014165641709012789,37.03,39.37,1.08,CALL
MGLUB265,2021-01-04T00:00:00.000Z,25.2,26.48,0.9,35,ATM,0.393999,0.11037637147571268,0.03613610280821668,-0.019878496412392244,0.012539965481265326,37.119,34.19,0.9,CALL
MGLUB270,2021-01-04T00:00:00.000Z,25.2,26.98,0.7,35,OTM,0.336375,0.10820884273004529,0.03426926257269792,-0.01819559785596822,0.010800898076169284,35.907,28.9,0.7,CALL
MGLUB280,2021-01-04T00:00:00.000Z,25.2,27.98,0.48,35,OTM,0.249541,0.09205393137339368,0.029814785300794792,-0.01610159816361461,0.008067283679845964,36.722,20.82,0.48,CALL
MGLUB287,2021-01-04T00:00:00.000Z,25.2,28.73,0.33,35,OTM,0.188218,0.07941879739834026,0.025337768454662644,-0.013443454413171142,0.006129299970708376,36.172,15.4,0.33,CALL
MGLUB290,2021-01-04T00:00:00.000Z,25.2,28.98,0.29,35,OTM,0.170264,0.07486570370435448,0.023789205790236197,-0.012561127427230282,0.00555647658110406,36.027,13.84,0.29,CALL
MGLUB300,2021-01-04T00:00:00.000Z,25.2,29.98,0.24,35,OTM,0.136766,0.05941335576185806,0.02057290246264736,-0.011792728116678367,0.004453469727112185,39.259,10.73,0.24,CALL
MGLUB342,2021-01-04T00:00:00.000Z,25.2,34.23,0.09,35,OTM,0.051417,0.023710801020496847,0.009903888916232338,-0.006796049418064835,0.0016746099287624037,47.358,3.53,0.09,CALL
MGLUC100,2021-01-04T00:00:00.000Z,25.2,24.96,2.16,50,ATM,0.566536,0.07835991135259593,0.044156941293232714,-0.020710054343322033,0.024041112430207144,44.723,48.74,2.16,CALL
MGLUC259,2021-01-04T00:00:00.000Z,25.2,25.96,1.41,50,ATM,0.472936,0.09348130898146625,0.044678117146729666,-0.017780977761764585,0.02084923653640428,37.931,40.64,1.41,CALL
MGLUC262,2021-01-04T00:00:00.000Z,25.2,26.21,1.5,50,ATM,0.462479,0.0839155149365191,0.04458304156027437,-0.019604499995930075,0.02014779971785346,42.165,38.9,1.5,CALL
MGLUC269,2021-01-04T00:00:00.000Z,25.2,26.96,1.08,50,OTM,0.388729,0.08828254325938466,0.04302782048549512,-0.017335524490535003,0.017293611485885846,38.682,32.46,1.08,CALL
MGLUC299,2021-01-04T00:00:00.000Z,25.2,29.96,0.42,50,OTM,0.18855,0.061520699329911416,0.030317438099318302,-0.012201230715828213,0.008594143230910524,39.111,14.51,0.42,CALL
MGLUM106,2021-01-04T00:00:00.000Z,25.2,26.58,1.5,10,ITM,-0.814879,0.18651277091402896,0.01340527895987793,-0.017367436914931617,-0.008744128153722476,28.521,82.97,1.5,CALL
MGLUM209,2021-01-04T00:00:00.000Z,25.2,20.83,0.02,10,OTM,-0.021422000000000052,0.021049955110775953,0.002576107896194758,-0.006210699428857804,-0.00022215338126542643,48.563,2.69,0.02,CALL
MGLUM241,2021-01-04T00:00:00.000Z,25.2,24.08,0.3,10,ATM,-0.25555300000000003,0.1709341827772465,0.016137960321556476,-0.029694360880023692,-0.0026746096986484395,37.464,28.01,0.3,CALL
MGLUM246,2021-01-04T00:00:00.000Z,25.2,24.58,0.43,10,ATM,-0.34539699999999995,0.2061655316123906,0.018503529867562395,-0.032224857906013406,-0.003624645486483129,35.615,37.19,0.43,CALL
MGLUM251,2021-01-04T00:00:00.000Z,25.2,25.08,0.66,10,ATM,-0.45502600000000004,0.21663651119526423,0.019899488485123507,-0.03530456079963268,-0.004812222081270952,36.451,48.39,0.66,CALL
MGLUM256,2021-01-04T00:00:00.000Z,25.2,25.58,0.94,10,ATM,-0.5617289999999999,0.21212976321886065,0.019786639126224005,-0.03542055083449113,-0.0059903619241315825,37.014,59.06,0.94,CALL
MGLUM271,2021-01-04T00:00:00.000Z,25.2,27.08,1.76,10,ITM,-0.937242,0.1069858039376431,0.006193662767357976,-0.005089802813698131,-0.010122289570005662,22.973,94.27,1.8894,CALL
MGLUM785,2021-01-04T00:00:00.000Z,25.2,19.58,0.02,10,OTM,-0.01716200000000001,0.013690342352282933,0.0021336460415060463,-0.006561746769506032,-0.00017956040693945576,61.845,2.31,0.02,CALL
MGLUM805,2021-01-04T00:00:00.000Z,25.2,20.08,0.01,10,OTM,-0.011020999999999948,0.011306786259950592,0.0014561482889670352,-0.0036979230902645425,-0.00011417543493146122,51.105,1.43,0.01,CALL
MGLUM905,2021-01-04T00:00:00.000Z,25.2,22.58,0.12,10,OTM,-0.10478200000000004,0.07878006268542112,0.009114443127166609,-0.02070291847384282,-0.0010954557146473274,45.91,12.24,0.12,CALL
MGLUM925,2021-01-04T00:00:00.000Z,25.2,23.08,0.15,10,OTM,-0.135459,0.10314709685200547,0.01092470145958431,-0.02267451782220841,-0.0014141189430685245,42.029,15.45,0.15,CALL
MGLUM944,2021-01-04T00:00:00.000Z,25.2,23.58,0.21,10,OTM,-0.18609200000000004,0.13486502364794095,0.013448852466783966,-0.02622026902463447,-0.0019442780059363183,39.571,20.79,0.21,CALL
MGLUN175,2021-01-04T00:00:00.000Z,25.2,17.48,0.05,35,OTM,-0.02480199999999999,0.011654761664595387,0.005452323006000462,-0.0040777827873664605,-0.000937501348220085,53.041,3.87,0.05,CALL
MGLUN210,2021-01-04T00:00:00.000Z,25.2,20.98,0.21,35,OTM,-0.10372700000000001,0.045433977128166325,0.01692675067153254,-0.009989956141450946,-0.003922114756606088,42.24,13.5,0.21,CALL
MGLUN220,2021-01-04T00:00:00.000Z,25.2,21.98,0.34,35,OTM,-0.15870700000000004,0.06364208000841648,0.022729564056794292,-0.012803929534483931,-0.006026976751257719,40.493,19.8,0.34,CALL
MGLUN225,2021-01-04T00:00:00.000Z,25.2,22.48,0.4,35,OTM,-0.187847,0.07439697257518069,0.02530696436988298,-0.013535600983038073,-0.00713021701173919,38.567,22.9,0.4,CALL
MGLUN235,2021-01-04T00:00:00.000Z,25.2,23.48,0.67,35,OTM,-0.278988,0.09336579608925011,0.0315584091971949,-0.016666118100739178,-0.01069513986720607,38.323,32.89,0.67,CALL
MGLUN237,2021-01-04T00:00:00.000Z,25.2,23.73,0.73,35,OTM,-0.30176800000000004,0.09885753068575891,0.032740140291044,-0.01690093332780876,-0.011575767607904797,37.549,35.22,0.73,CALL
MGLUN240,2021-01-04T00:00:00.000Z,25.2,23.98,0.78,35,OTM,-0.32465200000000005,0.10544154671536078,0.03378644610973374,-0.016823798894204708,-0.012446146626431521,36.33,37.47,0.78,CALL
MGLUN242,2021-01-04T00:00:00.000Z,25.2,24.23,0.85,35,ATM,-0.35068699999999997,0.11101288864455666,0.03481077584355017,-0.016911345010643453,-0.013454622868759904,35.553,40.09,0.85,CALL
MGLUN250,2021-01-04T00:00:00.000Z,25.2,24.98,1.21,35,ATM,-0.439195,0.11578732326334636,0.03703054824553837,-0.018207492588812844,-0.017052396164096578,36.26,49.29,1.21,CALL
MGLUN255,2021-01-04T00:00:00.000Z,25.2,25.48,1.36,35,ATM,-0.501814,0.12750729514756326,0.03746621943240684,-0.016719504454607362,-0.01945240310250996,33.315,55.12,1.36,CALL
MGLUN770,2021-01-04T00:00:00.000Z,25.2,19.23,0.11,35,OTM,-0.05363200000000001,0.024092744918639962,0.010241137295634082,-0.006934876659354916,-0.002029904079462989,48.194,7.62,0.11,CALL
MGLUN850,2021-01-04T00:00:00.000Z,25.2,21.23,0.24,35,OTM,-0.11643700000000001,0.04972992864287987,0.018390696017707528,-0.010763753798768786,-0.004408651858406451,41.929,14.99,0.24,CALL
MGLUN920,2021-01-04T00:00:00.000Z,25.2,22.98,0.68,35,OTM,-0.25346900000000006,0.07782018016804176,0.030061969298173064,-0.01824850931241145,-0.009815867482480081,43.798,30.84,0.68,CALL
MGLUN985,2021-01-04T00:00:00.000Z,25.2,24.61,1.03,35,ATM,-0.395869,0.11367758228858232,0.03618296633963451,-0.01778026644321554,-0.015286001487863396,36.088,44.85,1.03,CALL
MGLUO100,2021-01-04T00:00:00.000Z,25.2,24.96,1.64,50,ATM,-0.434358,0.08630464062036378,0.04417366651446275,-0.016945191450481942,-0.02497192708331411,40.622,50.62,1.64,CALL
MGLUO229,2021-01-04T00:00:00.000Z,25.2,22.96,0.74,50,OTM,-0.25815299999999997,0.0743656237632138,0.036275994599679715,-0.013469085646991357,-0.014375909032016585,38.715,31.68,0.74,CALL
MGLUO239,2021-01-04T00:00:00.000Z,25.2,23.96,1.2,50,OTM,-0.34869799999999995,0.08018034923074709,0.041520642328074606,-0.016271659594363438,-0.019815883481884854,41.098,41.85,1.2,CALL
MGLUO259,2021-01-04T00:00:00.000Z,25.2,25.96,1.86,50,ATM,-0.539622,0.10623766859145903,0.04456014259966413,-0.01360660558005014,-0.03067164818709421,33.289,59.78,1.86,CALL
MGLUO800,2021-01-04T00:00:00.000Z,25.2,19.96,0.29,50,OTM,-0.10597699999999999,0.0350720672645119,0.02054822515387524,-0.00931969285004869,-0.00587427754670794,46.499,14.89,0.29,CALL
MGLUA106,2021-01-05T00:00:00.000Z,24.76,26.58,0.2,10,OTM,0.194311,0.14274746967948165,0.01356965285123594,-0.026877093184854532,0.0018298354704514273,39.075,17.36,0.2,CALL
MGLUA110,2021-01-05T00:00:00.000Z,24.76,27.58,0.09,10,OTM,0.098747,0.08717435525349569,0.008576794387271429,-0.01752975208911189,0.0009345263583922189,40.442,8.55,0.09,CALL
MGLUA114,2021-01-05T00:00:00.000Z,24.76,28.58,0.06,10,OTM,0.063526,0.055395227663371384,0.006143425105165971,-0.014122649353817653,0.0006003680860991669,45.586,5.3,0.06,CALL
MGLUA209,2021-01-05T00:00:00.000Z,24.76,20.83,3.97,10,ITM,0.973692,0.02684547641306604,0.00300838132407942,-0.008527036297995652,0.007991607987183562,46.063,96.76,3.97,CALL
MGLUA241,2021-01-05T00:00:00.000Z,24.76,24.08,1.11,10,ATM,0.666834,0.20244453103883664,0.01793043211483192,-0.03386112112001953,0.00611150034796551,36.407,64.01,1.11,CALL
MGLUA246,2021-01-05T00:00:00.000Z,24.76,24.58,0.81,10,ATM,0.559075,0.22208605029160422,0.01946103545044146,-0.03608287111131449,0.005171770235416561,36.02,53.06,0.81,CALL
MGLUA251,2021-01-05T00:00:00.000Z,24.76,25.08,0.63,10,ATM,0.453629,0.20627675753613658,0.01954409603361903,-0.0388989003997831,0.004207132911009531,38.946,42.31,0.63,CALL
MGLUA256,2021-01-05T00:00:00.000Z,24.76,25.58,0.4,10,ATM,0.344692,0.20409454641780236,0.018166592490279795,-0.03387899879392643,0.0032280457725974293,36.588,31.83,0.4,CALL
MGLUA271,2021-01-05T00:00:00.000Z,24.76,27.08,0.15,10,OTM,0.148444,0.11419770000295465,0.011420336953049512,-0.0237523152179077,0.0013990059415695648,41.107,13.03,0.15,CALL
MGLUA283,2021-01-05T00:00:00.000Z,24.76,28.33,0.07,10,OTM,0.07334,0.06279711541052148,0.006863645197540632,-0.015556602262649696,0.0006928234664428521,44.927,6.17,0.07,CALL
MGLUA291,2021-01-05T00:00:00.000Z,24.76,29.08,0.04,10,OTM,0.044443,0.04137723069159455,0.00462850660652227,-0.010725087981048096,0.0004207999550440661,45.981,3.65,0.04,CALL
MGLUA303,2021-01-05T00:00:00.000Z,24.76,30.33,0.03,10,OTM,0.03076,0.02668450982475516,0.0034263970262349637,-0.009100290124125535,0.00029032703658190347,52.78,2.41,0.03,CALL
MGLUA314,2021-01-05T00:00:00.000Z,24.76,31.33,0.02,10,OTM,0.020393,0.017811829121911853,0.002427845062796736,-0.006839795993616098,0.00019242948940110377,56.028,1.55,0.02,CALL
MGLUA785,2021-01-05T00:00:00.000Z,24.76,19.58,5.5,10,ITM,0.889669,0.03617997818556204,0.009294597633698524,-0.050385831485583635,0.006558884845438464,105.598,84.48,5.5,CALL
MGLUA905,2021-01-05T00:00:00.000Z,24.76,22.58,2.32,10,ITM,0.881137,0.09840890457348565,0.00980065558108683,-0.021607566095231165,0.007736969350641014,40.937,86.41,2.32,CALL
MGLUA925,2021-01-05T00:00:00.000Z,24.76,23.08,1.69,10,ITM,1.0,0.0,0.0,-0.0018302928249428125,0.009151570281697911,0.0,100.0,1.6983,CALL
MGLUA944,2021-01-05T00:00:00.000Z,24.76,23.58,1.4,10,ITM,0.78689,0.18055412797518522,0.014337913922241811,-0.024835612208606573,0.007176030289630811,32.642,76.75,1.4,CALL
MGLUB107,2021-01-05T00:00:00.000Z,24.76,26.73,0.64,35,OTM,0.316557,0.10621028969864067,0.032848462324478016,-0.017616226273767247,0.009997174588207099,36.323,27.0,0.64,CALL
MGLUB235,2021-01-05T00:00:00.000Z,24.76,23.48,2.1,35,ITM,0.682614,0.10468762301748798,0.03288491099244671,-0.01850599773590202,0.02055768537891757,36.892,63.21,2.1,CALL
MGLUB240,2021-01-05T00:00:00.000Z,24.76,23.98,2.13,35,ATM,0.613288,0.0896023517904896,0.03531802106079764,-0.02439250830055711,0.018132013117201508,46.292,54.59,2.13,CALL
MGLUB250,2021-01-05T00:00:00.000Z,24.76,24.98,1.58,35,ATM,0.518854,0.09628200402722807,0.036771354024106466,-0.024455890603552324,0.01564836529841989,44.853,45.23,1.58,CALL
MGLUB255,2021-01-05T00:00:00.000Z,24.76,25.48,1.07,35,ATM,0.452092,0.1167255914332152,0.03654666413422348,-0.020001735544353177,0.014060823330975171,36.772,39.84,1.07,CALL
MGLUB260,2021-01-05T00:00:00.000Z,24.76,25.98,0.91,35,ATM,0.399502,0.11167842716164175,0.03563812341316071,-0.019793468124575078,0.012474571969008356,37.478,34.67,0.91,CALL
MGLUB265,2021-01-05T00:00:00.000Z,24.76,26.48,0.73,35,OTM,0.344823,0.10817014540650048,0.03399119727162827,-0.018540492025015724,0.01084418705757614,36.905,29.57,0.73,CALL
MGLUB270,2021-01-05T00:00:00.000Z,24.76,26.98,0.58,35,OTM,0.293403,0.10228676533826178,0.03175841646444201,-0.01707415561277241,0.00928426796978431,36.465,24.85,0.58,CALL
MGLUB280,2021-01-05T00:00:00.000Z,24.76,27.98,0.38,35,OTM,0.210815,0.08515169417480872,0.02665431109730141,-0.014382371380290176,0.006721922579641648,36.762,17.35,0.38,CALL
MGLUB287,2021-01-05T00:00:00.000Z,24.76,28.73,0.31,35,OTM,0.172953,0.07183388276915505,0.02360895568218515,-0.013333634973744906,0.005517098169475209,38.599,13.86,0.31,CALL
MGLUB290,2021-01-05T00:00:00.000Z,24.76,28.98,0.28,35,OTM,0.158931,0.06778026257135764,0.022353276001886323,-0.012658432995915635,0.005076541952220331,38.732,12.65,0.28,CALL
MGLUB300,2021-01-05T00:00:00.000Z,24.76,29.98,0.18,35,OTM,0.11008,0.05234244415359617,0.01735999304039233,-0.009862039066522037,0.0035355115048201153,38.952,8.51,0.18,CALL
MGLUB342,2021-01-05T00:00:00.000Z,24.76,34.23,0.08,35,OTM,0.046166,0.021586682968192772,0.008928262700372823,-0.006279932040645143,0.0014765316692536183,48.575,3.11,0.08,CALL
MGLUB985,2021-01-05T00:00:00.000Z,24.76,24.61,1.43,35,ATM,0.552934,0.11907269727913664,0.03648788488992966,-0.019732410980944737,0.017028670488611525,35.989,49.96,1.43,CALL
MGLUC259,2021-01-05T00:00:00.000Z,24.76,25.96,1.24,50,ATM,0.433999,0.09242290556379039,0.04339576288035508,-0.017505514786484835,0.018860743923680184,38.601,36.76,1.24,CALL
MGLUC262,2021-01-05T00:00:00.000Z,24.76,26.21,1.1,50,OTM,0.407338,0.09407156336234455,0.0428070354494065,-0.016727150818365386,0.017828747402063944,37.41,34.42,1.1,CALL
MGLUC269,2021-01-05T00:00:00.000Z,24.76,26.96,0.92,50,OTM,0.350501,0.08672775879752993,0.04087255078495577,-0.01645129977215326,0.015393636177680458,38.744,28.89,0.92,CALL
MGLUC299,2021-01-05T00:00:00.000Z,24.76,29.96,0.36,50,OTM,0.167006,0.057083596867365236,0.027592214302600837,-0.011264129388025998,0.007490189359093792,39.738,12.65,0.36,CALL
MGLUM106,2021-01-05T00:00:00.000Z,24.76,26.58,1.98,10,ITM,-0.815233,0.14358574346553674,0.013155583020015198,-0.023013256781800173,-0.008795813240879375,37.661,83.46,1.98,CALL
MGLUM110,2021-01-05T00:00:00.000Z,24.76,27.58,2.31,10,ITM,-1.0,0.0,0.0,0.0021871523445373816,-0.010935888577522894,0.0,100.0,2.7981,CALL
MGLUM182,2021-01-05T00:00:00.000Z,24.76,18.08,0.01,10,OTM,-0.00854100000000002,0.006891874019513048,0.0011450917452794226,-0.0038926529391197146,-8.789187131271163e-05,68.296,1.23,0.01,CALL
MGLUM209,2021-01-05T00:00:00.000Z,24.76,20.83,0.06,10,OTM,-0.05064000000000002,0.03838482393597671,0.0051388556885521705,-0.01403517494201481,-0.0005213753278202046,55.03,6.31,0.06,CALL
MGLUM241,2021-01-05T00:00:00.000Z,24.76,24.08,0.37,10,ATM,-0.32439700000000005,0.21373584513624874,0.017738662787400564,-0.029590010357179765,-0.0033341914421249294,34.114,34.92,0.37,CALL
MGLUM246,2021-01-05T00:00:00.000Z,24.76,24.58,0.55,10,ATM,-0.43794500000000003,0.2427959919702385,0.01943864263288646,-0.031080989598888078,-0.004521279807775495,32.909,46.39,0.55,CALL
MGLUM251,2021-01-05T00:00:00.000Z,24.76,25.08,0.81,10,ATM,-0.5603290000000001,0.24386985856304497,0.019451762653744674,-0.030722014588799626,-0.005826949240905684,32.787,58.59,0.81,CALL
MGLUM256,2021-01-05T00:00:00.000Z,24.76,25.58,1.11,10,ATM,-0.68222,0.22894724846996345,0.017587042696730813,-0.02633703869254485,-0.007143635332754918,31.576,70.43,1.11,CALL
MGLUM271,2021-01-05T00:00:00.000Z,24.76,27.08,2.4,10,ITM,-0.881632,0.10992657283831599,0.00977180139987609,-0.015929824237601496,-0.009614872079984852,36.54,89.54,2.4,CALL
MGLUM805,2021-01-05T00:00:00.000Z,24.76,20.08,0.1,10,OTM,-0.061656000000000044,0.0343409045595832,0.006001965632153335,-0.021430194255971917,-0.0006454893086003133,71.842,8.11,0.1,CALL
MGLUM905,2021-01-05T00:00:00.000Z,24.76,22.58,0.13,10,OTM,-0.12309099999999995,0.09892878612305217,0.010044609051630937,-0.020708344539280967,-0.00126102037297133,41.735,14.08,0.13,CALL
MGLUM925,2021-01-05T00:00:00.000Z,24.76,23.08,0.15,10,OTM,-0.15482799999999997,0.1325903523016371,0.011744539573730148,-0.021064415033157848,-0.001580787341038807,36.41,17.27,0.15,CALL
MGLUM944,2021-01-05T00:00:00.000Z,24.76,23.58,0.24,10,OTM,-0.22928899999999997,0.17418376775926253,0.014951003618736606,-0.025905366092360327,-0.0023481157713026667,35.282,25.11,0.24,CALL
MGLUN107,2021-01-05T00:00:00.000Z,24.76,26.73,2.8,35,ITM,-0.6428309999999999,0.09156279164030524,0.03442710488551213,-0.020232293961792866,-0.025995178832986954,44.158,70.22,2.8,CALL
MGLUN175,2021-01-05T00:00:00.000Z,24.76,17.48,0.1,35,OTM,-0.04215199999999997,0.016739961699182807,0.008296916406089714,-0.00680863362053916,-0.001588447781853673,58.209,6.56,0.1,CALL
MGLUN210,2021-01-05T00:00:00.000Z,24.76,20.98,0.19,35,OTM,-0.10553699999999999,0.051603619291290405,0.016841037828605097,-0.008998786263115975,-0.0038932019639939513,38.328,13.4,0.19,CALL
MGLUN220,2021-01-05T00:00:00.000Z,24.76,21.98,0.33,35,OTM,-0.169918,0.0742497305974073,0.023343295644003174,-0.011952851881445325,-0.00630163458305389,36.923,20.7,0.33,CALL
MGLUN225,2021-01-05T00:00:00.000Z,24.76,22.48,0.44,35,OTM,-0.21341900000000003,0.08586067285747082,0.02684633559867574,-0.013629117008200787,-0.007950360878930833,36.722,25.53,0.44,CALL
MGLUN235,2021-01-05T00:00:00.000Z,24.76,23.48,0.74,35,OTM,-0.31589100000000003,0.10577498975545993,0.03281911883988549,-0.016405060365177353,-0.011890925135995043,36.44,36.56,0.74,CALL
MGLUN237,2021-01-05T00:00:00.000Z,24.76,23.73,0.81,35,ATM,-0.342113,0.11146850794685967,0.03389043285283885,-0.01655102845598587,-0.012889886296570806,35.707,39.22,0.81,CALL
MGLUN240,2021-01-05T00:00:00.000Z,24.76,23.98,0.92,35,ATM,-0.37196799999999997,0.1140182833418502,0.03490001481801739,-0.017118974480039014,-0.014069375105419573,35.949,42.36,0.92,CALL
MGLUN242,2021-01-05T00:00:00.000Z,24.76,24.23,0.95,35,ATM,-0.398544,0.1240404189990659,0.03561551601150923,-0.016298683268511104,-0.015024970415017082,33.722,44.77,0.95,CALL
MGLUN250,2021-01-05T00:00:00.000Z,24.76,24.98,1.31,35,ATM,-0.494595,0.12935894087299532,0.036809094543598105,-0.016497130225791377,-0.01882801204486327,33.419,54.42,1.31,CALL
MGLUN255,2021-01-05T00:00:00.000Z,24.76,25.48,1.66,35,ATM,-0.552562,0.12193965777476709,0.036492498645368736,-0.017105346743419583,-0.021307567299962703,35.147,60.38,1.66,CALL
MGLUN260,2021-01-05T00:00:00.000Z,24.76,25.98,2.0,35,ATM,-0.6073500000000001,0.11620785589785984,0.03547147456670129,-0.016813618311886918,-0.02366389351301292,35.849,65.76,2.0,CALL
MGLUN280,2021-01-05T00:00:00.000Z,24.76,27.98,3.4,35,ITM,-0.8278030000000001,0.08667124880459769,0.023543163529623934,-0.008833146647532942,-0.0331894878928126,31.902,85.64,3.4,CALL
MGLUN770,2021-01-05T00:00:00.000Z,24.76,19.23,0.07,35,OTM,-0.04225100000000004,0.02345870611565418,0.008312695449691354,-0.004853524786551082,-0.0015501942836878308,41.617,5.82,0.07,CALL
MGLUN850,2021-01-05T00:00:00.000Z,24.76,21.23,0.24,35,OTM,-0.12552200000000002,0.057240599656468494,0.019050565308378422,-0.010371901930895683,-0.004649885083110761,39.087,15.81,0.24,CALL
MGLUN920,2021-01-05T00:00:00.000Z,24.76,22.98,0.63,35,OTM,-0.269968,0.09343283483440103,0.030508550115996416,-0.016133323732872615,-0.01015894319403076,38.349,31.92,0.63,CALL
MGLUN985,2021-01-05T00:00:00.000Z,24.76,24.61,1.15,35,ATM,-0.447025,0.12494509130696298,0.03648742351438575,-0.01690749722675435,-0.01696994070947197,34.297,49.79,1.15,CALL
MGLUO100,2021-01-05T00:00:00.000Z,24.76,24.96,1.74,50,ATM,-0.475457,0.0941327423282507,0.043916000289831364,-0.015771109804534528,-0.026810224363512172,38.354,54.35,1.74,CALL
MGLUO209,2021-01-05T00:00:00.000Z,24.76,20.96,0.49,50,OTM,-0.16940900000000003,0.05123060063846479,0.027846983947690987,-0.012072060388125456,-0.009294789777790876,44.687,22.44,0.49,CALL
MGLUO229,2021-01-05T00:00:00.000Z,24.76,22.96,0.9,50,OTM,-0.295535,0.0787843432611473,0.038085525273515074,-0.014483709696171772,-0.016304491431614467,39.742,35.93,0.9,CALL
MGLUO239,2021-01-05T00:00:00.000Z,24.76,23.96,1.31,50,ATM,-0.38359699999999997,0.0868130429744749,0.042112760594063436,-0.01593686068141778,-0.02144420612469178,39.88,45.29,1.31,CALL
MGLUO259,2021-01-05T00:00:00.000Z,24.76,25.96,2.25,50,ATM,-0.573212,0.09719355931932051,0.04325635645983822,-0.014521720761059068,-0.03262448450409749,36.588,63.59,2.25,CALL
MGLUO889,2021-01-05T00:00:00.000Z,24.76,22.21,0.6,50,OTM,-0.22676700000000005,0.07179792819965893,0.03322394693776889,-0.012145935637146239,-0.0123308172721346,38.042,28.09,0.6,CALL
MGLUQ301,2021-01-05T00:00:00.000Z,24.76,7.52,0.01,98,OTM,-0.0025330000000000075,0.0006794996029681999,0.0012127027622186978,-0.0004573941061145588,-0.0002828082404109571,74.858,0.97,0.01,CALL
MGLUQ50,2021-01-05T00:00:00.000Z,24.76,12.46,0.06,98,OTM,-0.016730000000000023,0.004711841787899645,0.006421117528600301,-0.0018349733436034967,-0.0018442104854383909,57.16,3.84,0.06,CALL
